debugI4K4g:debugwKpUf,11,1554008150818,"{""rt"": 1070, ""hit"": true, ""color"": ""green"", ""relation"": ""congruent"", ""phase"": ""TEST"", ""word"": ""GREEN"", ""response"": ""green""}"
debugI4K4g:debugwKpUf,12,1554008151734,"{""rt"": 913, ""hit"": true, ""color"": ""red"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""GREEN"", ""response"": ""red""}"
debugI4K4g:debugwKpUf,13,1554008152778,"{""rt"": 1042, ""hit"": true, ""color"": ""green"", ""relation"": ""incongruent"", ""phase"": ""TEST"", ""word"": ""BLUE"", ""response"": ""green""}"
debugI4K4g:debugwKpUf,14,1554008152780,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugI4K4g:debugwKpUf,15,1554008155133,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugS1bGU:debugacrsD,0,1554034698083,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugS1bGU:debugacrsD,1,1554034700048,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1960, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
debugS1bGU:debugacrsD,2,1554034701341,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 1291, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
debugS1bGU:debugacrsD,3,1554034701956,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 608, ""action"": ""NextPage"", ""template"": ""instructions/instruct-3.html""}"
debugS1bGU:debugacrsD,4,1554034703254,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 3, ""viewTime"": 1293, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugp7dQc:debugu7vBy,0,1554038718042,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""]}"
debugp7dQc:debugu7vBy,1,1554038719364,"{""action"": ""NextPage"", ""indexOf"": 0, ""viewTime"": 1318, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-1.html""}"
debugp7dQc:debugu7vBy,2,1554038719855,"{""action"": ""NextPage"", ""indexOf"": 1, ""viewTime"": 488, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html""}"
debugp7dQc:debugu7vBy,3,1554038720324,"{""action"": ""NextPage"", ""indexOf"": 2, ""viewTime"": 459, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html""}"
debugp7dQc:debugu7vBy,4,1554038721607,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""viewTime"": 1278, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html""}"
debugp7dQc:debugu7vBy,5,1554038809915,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-ready.html""]}"
