debugOLV7Q:debug5pV2M,initialized,0,,1553882368517
debugOLV7Q:debug5pV2M,window_resize,0,"[1366, 667]",1553882368517
debugOLV7Q:debug5pV2M,focus,100,on,1553882368617
debugI4K4g:debugwKpUf,initialized,0,,1554008139191
debugI4K4g:debugwKpUf,window_resize,0,"[1024, 667]",1554008139191
debugI4K4g:debugwKpUf,focus,132,on,1554008139323
debugS1bGU:debugacrsD,initialized,0,,1554034697793
debugS1bGU:debugacrsD,window_resize,1,"[1024, 667]",1554034697794
debugS1bGU:debugacrsD,focus,316,on,1554034698110
debugp7dQc:debugu7vBy,initialized,0,,1554038717919
debugp7dQc:debugu7vBy,window_resize,0,"[1024, 667]",1554038717919
debugp7dQc:debugu7vBy,focus,136,on,1554038718055
debugp7dQc:debugu7vBy,focus,91869,on,1554038809924
debugp7dQc:debugu7vBy,window_resize,1219,"[524, 667]",1554038811143
debugp7dQc:debugu7vBy,focus,292,off,1554038811435
debugp7dQc:debugu7vBy,focus,3540,on,1554038814975
debugp7dQc:debugu7vBy,focus,105683,on,1554038920658
debugp7dQc:debugu7vBy,window_resize,1263,"[524, 667]",1554038921921
debugp7dQc:debugu7vBy,focus,267,off,1554038922188
debugp7dQc:debugu7vBy,focus,1399,on,1554038923587
debugp7dQc:debugu7vBy,focus,190517,on,1554039114104
debugp7dQc:debugu7vBy,focus,2468,off,1554039116572
debugp7dQc:debugu7vBy,focus,1105,on,1554039117677
debugp7dQc:debugu7vBy,focus,261324,on,1554039379001
debugp7dQc:debugu7vBy,window_resize,1011,"[524, 667]",1554039380012
debugp7dQc:debugu7vBy,focus,106,off,1554039380118
debugp7dQc:debugu7vBy,focus,480,on,1554039380598
debugp7dQc:debugu7vBy,focus,266077,on,1554039646675
debugp7dQc:debugu7vBy,window_resize,1223,"[524, 667]",1554039647898
debugp7dQc:debugu7vBy,focus,160,off,1554039648058
debugp7dQc:debugu7vBy,focus,833,on,1554039648891
debugp7dQc:debugu7vBy,focus,49069,on,1554039697960
debugp7dQc:debugu7vBy,focus,31054,on,1554039729014
debugp7dQc:debugu7vBy,focus,166611,on,1554039895625
debugp7dQc:debugu7vBy,focus,162324,on,1554040057949
debugp7dQc:debugu7vBy,focus,12525457,on,1554052583406
